id_contrato,municipio_execucao,secretaria_responsavel,status_obra,orcamento_inicial_reais,valor_aditivos_reais,dias_de_atraso,percentual_conclusao
CT-2022-0071,Lagarto,Segurança,Paralisada,1252631.75,696320.66,775,46.1
CT-2022-0072,Aracaju,Educação,Concluída,1046856.3,49982.68,0,100.0
CT-2022-0073,Aracaju,Educação,Concluída,1960888.94,31087.45,0,100.0
CT-2022-0074,Itabaiana,Cultura e Esporte,Em Andamento,6208520.67,0.0,0,32.7
CT-2022-0075,Lagarto,Saúde,Concluída,432224.3,0.0,0,100.0
CT-2022-0076,Itabaiana,Educação,Em Andamento,7888092.16,0.0,0,54.7
CT-2022-0077,Itabaiana,Educação,Concluída,6006228.14,165224.58,0,100.0
CT-2022-0078,Lagarto,Segurança,Em Andamento,1134951.21,0.0,0,29.4
CT-2022-0079,Aracaju,Cultura e Esporte,Atrasada,1393630.53,479342.77,318,45.6
CT-2022-0080,Aracaju,Cultura e Esporte,Concluída,306178.0,0.0,0,100.0
CT-2022-0081,Aracaju,Infraestrutura,Concluída,4073765.58,117973.02,0,100.0
CT-2022-0082,Aracaju,Saúde,Paralisada,715456.88,941226.19,707,40.4
CT-2022-0083,Itabaiana,Infraestrutura,Concluída,1200237.11,121925.65,0,100.0
CT-2022-0084,Aracaju,Cultura e Esporte,Concluída,1672316.65,0.0,0,100.0
CT-2022-0085,Aracaju,Segurança,Atrasada,1715628.41,244430.35,308,62.3
CT-2022-0086,Aracaju,Segurança,Em Andamento,5001694.68,0.0,0,18.2
CT-2022-0087,São Cristóvão,Saúde,Paralisada,2199523.85,7615903.14,1668,53.3
CT-2022-0088,Aracaju,Cultura e Esporte,Concluída,321766.88,15440.22,0,100.0
CT-2022-0089,Itabaiana,Segurança,Concluída,2902930.38,0.0,0,100.0
CT-2022-0090,Aracaju,Educação,Concluída,1249350.86,0.0,0,100.0
CT-2022-0091,Estância,Saúde,Em Andamento,1395930.14,0.0,0,30.8
CT-2022-0092,Barra dos Coqueiros,Educação,Concluída,844544.89,87171.13,0,100.0
CT-2022-0093,Lagarto,Cultura e Esporte,Em Andamento,505421.39,0.0,0,64.2
CT-2022-0094,Nossa Senhora do Socorro,Cultura e Esporte,Em Andamento,1037892.34,0.0,0,75.9
CT-2022-0095,Aracaju,Educação,Em Andamento,6432904.85,0.0,0,71.4
CT-2022-0096,Nossa Senhora do Socorro,Infraestrutura,Paralisada,6311207.79,1147669.88,321,53.3
CT-2022-0097,Barra dos Coqueiros,Saúde,Paralisada,8854628.83,30169588.3,869,8.3
CT-2022-0098,Lagarto,Educação,Atrasada,254472.47,45773.79,276,20.1
CT-2022-0099,São Cristóvão,Educação,Concluída,7073098.69,884578.88,0,100.0
CT-2022-0100,Tobias Barreto,Infraestrutura,Concluída,1495984.44,0.0,0,100.0
CT-2022-0101,São Cristóvão,Segurança,Concluída,3287257.28,0.0,0,100.0
CT-2022-0102,Aracaju,Saúde,Paralisada,3051355.08,10380807.74,1171,14.4
CT-2022-0103,Itabaiana,Infraestrutura,Em Andamento,715138.58,0.0,0,77.1
CT-2022-0104,Lagarto,Educação,Concluída,716593.53,97336.3,0,100.0
CT-2022-0105,São Cristóvão,Segurança,Em Andamento,870049.43,0.0,0,10.3
CT-2022-0106,Estância,Cultura e Esporte,Em Andamento,1089137.01,0.0,0,49.3
CT-2022-0107,Lagarto,Segurança,Em Andamento,1533397.29,0.0,0,30.4
CT-2022-0108,Itabaiana,Cultura e Esporte,Atrasada,1970971.26,719180.07,297,42.2
CT-2022-0109,Nossa Senhora do Socorro,Infraestrutura,Paralisada,1484712.82,789359.2,412,61.0
CT-2022-0110,Lagarto,Cultura e Esporte,Em Andamento,2819607.31,0.0,0,30.7
CT-2022-0111,Nossa Senhora do Socorro,Cultura e Esporte,Em Andamento,662925.1,0.0,0,66.8
CT-2022-0112,Aracaju,Educação,Em Andamento,8230215.73,0.0,0,40.7
CT-2022-0113,Aracaju,Cultura e Esporte,Concluída,5597118.57,0.0,0,100.0
CT-2022-0114,São Cristóvão,Cultura e Esporte,Em Andamento,309645.03,0.0,0,13.6
CT-2022-0115,Aracaju,Saúde,Paralisada,2007370.03,6057958.43,1255,57.1
CT-2022-0116,São Cristóvão,Educação,Atrasada,5207126.71,1631427.14,259,20.4
CT-2022-0117,Lagarto,Infraestrutura,Em Andamento,1453711.08,0.0,0,13.8
CT-2022-0118,São Cristóvão,Infraestrutura,Concluída,1801976.36,0.0,0,100.0
CT-2022-0119,São Cristóvão,Infraestrutura,Concluída,16536603.4,2430996.83,0,100.0
CT-2022-0120,Aracaju,Infraestrutura,Em Andamento,4375726.0,0.0,0,54.0
CT-2022-0121,Lagarto,Segurança,Atrasada,1122931.28,140513.75,332,35.6
CT-2022-0122,São Cristóvão,Saúde,Paralisada,2648916.53,6031273.48,1265,54.7
CT-2022-0123,São Cristóvão,Educação,Paralisada,5019176.32,716089.74,556,29.7
CT-2022-0124,Lagarto,Educação,Em Andamento,1136674.09,0.0,0,18.4
CT-2022-0125,Lagarto,Segurança,Em Andamento,387585.16,0.0,0,14.2
CT-2022-0126,Lagarto,Educação,Concluída,1350667.64,9515.59,0,100.0
CT-2022-0127,Aracaju,Infraestrutura,Concluída,6575710.74,0.0,0,100.0
CT-2022-0128,São Cristóvão,Segurança,Paralisada,2042612.57,831828.96,634,70.3
CT-2022-0129,Lagarto,Infraestrutura,Paralisada,2878408.87,604181.8,191,57.4
CT-2022-0130,Barra dos Coqueiros,Segurança,Paralisada,276566.1,75363.14,520,17.3
CT-2022-0131,Aracaju,Infraestrutura,Concluída,971218.55,85677.15,0,100.0
CT-2022-0132,Aracaju,Cultura e Esporte,Atrasada,4758063.68,715785.14,183,43.5
CT-2022-0133,Barra dos Coqueiros,Educação,Em Andamento,3877412.69,0.0,0,68.6
CT-2022-0134,Aracaju,Saúde,Paralisada,502538.65,801077.19,1438,43.7
CT-2022-0135,Estância,Infraestrutura,Concluída,5301961.63,493343.04,0,100.0
CT-2022-0136,Itabaiana,Educação,Concluída,2426761.99,0.0,0,100.0
CT-2022-0137,Estância,Educação,Em Andamento,1012731.19,0.0,0,55.4
CT-2022-0138,Aracaju,Segurança,Concluída,657059.88,0.0,0,100.0
CT-2022-0139,Estância,Educação,Paralisada,714237.38,360804.49,653,53.0
CT-2022-0140,Aracaju,Cultura e Esporte,Em Andamento,1773836.83,0.0,0,28.4
CT-2022-0141,Aracaju,Segurança,Em Andamento,6414668.24,0.0,0,63.0
CT-2022-0142,Estância,Educação,Concluída,1525515.48,0.0,0,100.0
CT-2022-0143,Aracaju,Infraestrutura,Paralisada,3308742.6,1160514.64,212,22.1
CT-2022-0144,Aracaju,Segurança,Paralisada,612094.55,211261.58,311,45.2
CT-2022-0145,Estância,Saúde,Em Andamento,348049.72,0.0,0,75.2
CT-2022-0146,Tobias Barreto,Saúde,Em Andamento,1738696.55,0.0,0,6.0
CT-2022-0147,Barra dos Coqueiros,Educação,Atrasada,689002.94,202802.26,342,38.5
CT-2022-0148,Barra dos Coqueiros,Cultura e Esporte,Em Andamento,799555.07,0.0,0,48.3
CT-2022-0149,São Cristóvão,Cultura e Esporte,Concluída,1092639.71,0.0,0,100.0
CT-2022-0150,Aracaju,Cultura e Esporte,Atrasada,340433.14,115101.79,294,34.7
CT-2022-0151,Aracaju,Saúde,Paralisada,4991263.33,8725714.7,858,40.9
CT-2022-0152,Nossa Senhora do Socorro,Educação,Concluída,2493039.83,0.0,0,100.0
CT-2022-0153,Estância,Saúde,Paralisada,1718294.01,848289.2,543,36.5
CT-2022-0154,Itabaiana,Educação,Concluída,1357281.75,0.0,0,100.0
CT-2022-0155,São Cristóvão,Saúde,Paralisada,152922.82,353527.69,1652,42.6
CT-2022-0156,Itabaiana,Infraestrutura,Concluída,6255855.73,336841.79,0,100.0
CT-2022-0157,São Cristóvão,Segurança,Atrasada,4454872.6,1387072.83,85,81.0
CT-2022-0158,Estância,Segurança,Atrasada,4089826.68,1053440.02,173,81.4
CT-2022-0159,Nossa Senhora do Socorro,Saúde,Paralisada,725125.14,2464682.62,1186,33.4
CT-2022-0160,Aracaju,Educação,Paralisada,310823.91,105422.31,812,68.5
CT-2022-0161,Estância,Educação,Concluída,350669.07,0.0,0,100.0
CT-2022-0162,Itabaiana,Cultura e Esporte,Em Andamento,2455345.75,0.0,0,52.4
CT-2022-0163,Lagarto,Cultura e Esporte,Atrasada,3182827.1,835290.3,138,32.8
CT-2022-0164,Nossa Senhora do Socorro,Saúde,Paralisada,19106126.42,23376478.75,1467,34.1
CT-2022-0165,Itabaiana,Educação,Concluída,2366717.4,0.0,0,100.0
CT-2022-0166,Barra dos Coqueiros,Infraestrutura,Concluída,1362110.59,165450.11,0,100.0
CT-2022-0167,Aracaju,Segurança,Concluída,3566099.57,0.0,0,100.0
CT-2022-0168,Itabaiana,Educação,Em Andamento,3247983.3,0.0,0,77.2
CT-2022-0169,Nossa Senhora do Socorro,Cultura e Esporte,Concluída,219510.56,10749.88,0,100.0
CT-2022-0170,Aracaju,Saúde,Paralisada,546209.83,1056205.34,1525,46.4
CT-2022-0171,Aracaju,Educação,Concluída,3686369.27,131470.24,0,100.0
CT-2022-0172,Aracaju,Educação,Concluída,407821.47,8538.63,0,100.0
CT-2022-0173,Aracaju,Saúde,Paralisada,5072780.59,10056607.89,1074,37.4
CT-2022-0174,Aracaju,Infraestrutura,Paralisada,7301260.7,3949517.97,307,38.5
CT-2022-0175,Aracaju,Segurança,Concluída,819417.16,0.0,0,100.0
CT-2022-0176,Aracaju,Infraestrutura,Atrasada,2262520.41,844655.83,56,22.1
CT-2022-0177,Aracaju,Infraestrutura,Concluída,1283032.22,0.0,0,100.0
CT-2022-0178,Lagarto,Cultura e Esporte,Paralisada,2357754.28,572182.62,336,59.4
CT-2022-0179,São Cristóvão,Segurança,Em Andamento,3021015.36,0.0,0,8.9
CT-2022-0180,Aracaju,Infraestrutura,Concluída,185388.51,0.0,0,100.0
CT-2022-0181,Estância,Educação,Concluída,6922679.77,0.0,0,100.0
CT-2022-0182,Lagarto,Educação,Em Andamento,1532372.38,0.0,0,80.0
CT-2022-0183,Aracaju,Cultura e Esporte,Concluída,788969.86,107106.8,0,100.0
CT-2022-0184,Aracaju,Segurança,Concluída,247894.52,16308.43,0,100.0
CT-2022-0185,Aracaju,Saúde,Concluída,14911555.67,1397253.14,0,100.0
CT-2022-0186,Aracaju,Educação,Concluída,4424611.95,27932.55,0,100.0
CT-2022-0187,Barra dos Coqueiros,Saúde,Paralisada,1976237.14,6624822.8,623,26.3
CT-2022-0188,Aracaju,Cultura e Esporte,Atrasada,6176944.06,2071362.79,184,60.9
CT-2022-0189,Aracaju,Educação,Em Andamento,1977143.02,0.0,0,57.2
CT-2022-0190,Nossa Senhora do Socorro,Educação,Concluída,3643352.5,34899.22,0,100.0
CT-2022-0191,Aracaju,Infraestrutura,Atrasada,9601826.04,1713589.9,100,39.3
CT-2022-0192,Aracaju,Cultura e Esporte,Concluída,3825024.83,155944.46,0,100.0
CT-2022-0193,São Cristóvão,Cultura e Esporte,Concluída,973771.24,69911.79,0,100.0
CT-2022-0194,Aracaju,Infraestrutura,Em Andamento,8275748.42,0.0,0,9.4
CT-2022-0195,Itabaiana,Cultura e Esporte,Em Andamento,217386.41,0.0,0,36.9
CT-2022-0196,Aracaju,Infraestrutura,Paralisada,7744201.33,2799068.17,516,57.8
CT-2022-0197,Lagarto,Infraestrutura,Concluída,9970413.88,109511.77,0,100.0
CT-2022-0198,São Cristóvão,Infraestrutura,Concluída,438901.57,0.0,0,100.0
CT-2022-0199,Nossa Senhora do Socorro,Segurança,Concluída,322862.43,0.0,0,100.0
CT-2022-0200,Tobias Barreto,Educação,Em Andamento,5623056.72,0.0,0,77.6
CT-2022-0201,Itabaiana,Educação,Em Andamento,226306.23,0.0,0,13.4
CT-2022-0202,Aracaju,Educação,Paralisada,5049217.25,782657.48,564,71.6
CT-2022-0203,Tobias Barreto,Segurança,Em Andamento,1456161.34,0.0,0,26.3
CT-2022-0204,Aracaju,Educação,Paralisada,216954.69,115112.06,813,58.2
CT-2022-0205,Aracaju,Infraestrutura,Concluída,3238375.79,265043.69,0,100.0
CT-2022-0206,Aracaju,Saúde,Em Andamento,1133125.91,0.0,0,70.7
CT-2022-0207,Nossa Senhora do Socorro,Saúde,Paralisada,641942.03,911519.87,1326,35.4
CT-2022-0208,Nossa Senhora do Socorro,Educação,Paralisada,2523224.73,1121389.18,509,51.7
CT-2022-0209,Aracaju,Cultura e Esporte,Concluída,235879.98,0.0,0,100.0
CT-2022-0210,Lagarto,Educação,Atrasada,1649725.34,642834.65,296,82.4
CT-2022-0211,Aracaju,Segurança,Atrasada,3030398.11,891878.91,168,69.5
CT-2022-0212,Itabaiana,Cultura e Esporte,Concluída,4031078.45,219107.08,0,100.0
CT-2022-0213,Tobias Barreto,Saúde,Em Andamento,2331620.49,0.0,0,69.4
CT-2022-0214,Lagarto,Infraestrutura,Concluída,341080.25,0.0,0,100.0
CT-2022-0215,Aracaju,Educação,Em Andamento,4474818.45,0.0,0,47.6
CT-2022-0216,São Cristóvão,Educação,Concluída,1621222.55,0.0,0,100.0
CT-2022-0217,Estância,Educação,Concluída,748081.35,30865.49,0,100.0
CT-2022-0218,Itabaiana,Cultura e Esporte,Concluída,1072728.0,0.0,0,100.0
CT-2022-0219,Nossa Senhora do Socorro,Segurança,Em Andamento,3453036.66,0.0,0,53.5
CT-2022-0220,Aracaju,Infraestrutura,Concluída,811126.55,0.0,0,100.0
CT-2022-0221,Nossa Senhora do Socorro,Infraestrutura,Concluída,426726.16,0.0,0,100.0
CT-2022-0222,São Cristóvão,Educação,Concluída,3061080.13,0.0,0,100.0
CT-2022-0223,Aracaju,Infraestrutura,Em Andamento,3264530.02,0.0,0,45.2
CT-2022-0224,Barra dos Coqueiros,Infraestrutura,Concluída,1916433.75,0.0,0,100.0
CT-2022-0225,São Cristóvão,Educação,Concluída,2259612.33,0.0,0,100.0
CT-2022-0226,Nossa Senhora do Socorro,Educação,Atrasada,5498165.33,2000045.32,376,68.2
CT-2022-0227,São Cristóvão,Segurança,Concluída,1390046.33,0.0,0,100.0
CT-2022-0228,Aracaju,Educação,Concluída,6128096.68,0.0,0,100.0
CT-2022-0229,Estância,Educação,Em Andamento,6354188.19,0.0,0,38.7
CT-2022-0230,Lagarto,Segurança,Concluída,2302462.34,0.0,0,100.0
CT-2022-0231,Aracaju,Segurança,Em Andamento,200544.83,0.0,0,67.8
CT-2022-0232,Aracaju,Infraestrutura,Em Andamento,7818664.15,0.0,0,33.9
CT-2022-0233,Nossa Senhora do Socorro,Educação,Concluída,602135.93,0.0,0,100.0
CT-2022-0234,Estância,Cultura e Esporte,Paralisada,2397253.94,422763.16,819,50.3
CT-2022-0235,Nossa Senhora do Socorro,Educação,Em Andamento,3496378.79,0.0,0,74.5
CT-2022-0236,Lagarto,Infraestrutura,Em Andamento,449791.49,0.0,0,35.8
CT-2022-0237,Estância,Saúde,Em Andamento,4311799.95,0.0,0,23.5
CT-2022-0238,Aracaju,Segurança,Paralisada,2998366.58,1223526.57,288,72.9
CT-2022-0239,Nossa Senhora do Socorro,Educação,Atrasada,3502748.96,1008209.99,284,80.0
CT-2022-0240,Tobias Barreto,Cultura e Esporte,Em Andamento,651187.51,0.0,0,28.6
CT-2022-0241,Aracaju,Cultura e Esporte,Em Andamento,1101775.94,0.0,0,28.6
CT-2022-0242,Itabaiana,Educação,Atrasada,1231131.02,126191.35,361,84.0
CT-2022-0243,Aracaju,Saúde,Paralisada,638964.37,1683892.89,1499,53.6
CT-2022-0244,Barra dos Coqueiros,Segurança,Concluída,2654205.16,0.0,0,100.0
CT-2022-0245,Itabaiana,Educação,Concluída,389117.63,0.0,0,100.0
CT-2022-0246,Barra dos Coqueiros,Infraestrutura,Concluída,1039530.82,0.0,0,100.0
CT-2022-0247,Aracaju,Segurança,Concluída,4446731.58,0.0,0,100.0
CT-2022-0248,Aracaju,Cultura e Esporte,Em Andamento,961848.21,0.0,0,46.4
CT-2022-0249,Aracaju,Saúde,Paralisada,798930.16,1046546.35,1752,66.0
CT-2022-0250,Nossa Senhora do Socorro,Infraestrutura,Concluída,607923.66,0.0,0,100.0
CT-2022-0251,São Cristóvão,Educação,Concluída,3029725.57,0.0,0,100.0
CT-2022-0252,Estância,Segurança,Concluída,1965592.3,0.0,0,100.0
CT-2022-0253,São Cristóvão,Educação,Concluída,895158.9,115210.48,0,100.0
CT-2022-0254,Itabaiana,Cultura e Esporte,Paralisada,833947.09,476073.46,460,64.3
CT-2022-0255,Lagarto,Saúde,Paralisada,13629680.4,5379464.06,773,14.2
CT-2022-0256,São Cristóvão,Infraestrutura,Em Andamento,357317.33,0.0,0,11.1
CT-2022-0257,Aracaju,Cultura e Esporte,Em Andamento,4233690.56,0.0,0,77.3
CT-2022-0258,Estância,Educação,Concluída,7547819.19,0.0,0,100.0
CT-2022-0259,Aracaju,Infraestrutura,Paralisada,1918355.83,660731.39,328,15.0
CT-2022-0260,Aracaju,Educação,Concluída,2121152.6,308756.0,0,100.0
CT-2022-0261,Aracaju,Educação,Concluída,5902305.82,0.0,0,100.0
CT-2022-0262,Aracaju,Saúde,Em Andamento,193658.49,0.0,0,46.1
CT-2022-0263,Nossa Senhora do Socorro,Saúde,Paralisada,781318.42,1898110.27,1405,26.3
CT-2022-0264,Aracaju,Saúde,Paralisada,3903353.67,9602601.39,1301,5.5
CT-2022-0265,Aracaju,Saúde,Paralisada,2316250.88,7126325.13,1610,62.6
CT-2022-0266,Estância,Saúde,Concluída,10402534.84,585791.77,0,100.0
CT-2022-0267,Aracaju,Segurança,Concluída,863069.07,0.0,0,100.0
CT-2022-0268,Barra dos Coqueiros,Saúde,Paralisada,6681657.31,11065743.1,1138,73.7
CT-2022-0269,Itabaiana,Saúde,Concluída,26826993.16,0.0,0,100.0
CT-2022-0270,Aracaju,Infraestrutura,Em Andamento,153781.89,0.0,0,37.3
CT-2022-0271,Itabaiana,Infraestrutura,Concluída,1171261.96,0.0,0,100.0
CT-2022-0272,São Cristóvão,Infraestrutura,Atrasada,12076667.88,1456462.91,127,55.3
CT-2022-0273,Lagarto,Segurança,Paralisada,7011967.69,1953364.11,145,52.7
CT-2022-0274,Itabaiana,Saúde,Em Andamento,454588.14,0.0,0,76.7
CT-2022-0275,Estância,Segurança,Paralisada,1041502.65,435455.8,296,61.4
CT-2022-0276,Aracaju,Segurança,Concluída,3111942.39,90146.99,0,100.0
CT-2022-0277,Aracaju,Educação,Concluída,1004297.03,0.0,0,100.0
CT-2022-0278,Aracaju,Segurança,Paralisada,1640884.08,181568.93,583,49.4
CT-2022-0279,Aracaju,Educação,Paralisada,1027392.18,404581.73,598,36.2
CT-2022-0280,Estância,Cultura e Esporte,Concluída,1215462.84,24061.18,0,100.0
CT-2022-0281,São Cristóvão,Infraestrutura,Concluída,1401657.34,0.0,0,100.0
CT-2022-0282,Aracaju,Educação,Atrasada,2384597.86,533646.98,371,85.0
CT-2022-0283,Aracaju,Cultura e Esporte,Atrasada,4688887.62,1293405.9,268,45.4
CT-2022-0284,Aracaju,Segurança,Em Andamento,2548949.04,0.0,0,64.2
CT-2022-0285,Estância,Educação,Atrasada,996847.81,113554.61,68,65.5
CT-2022-0286,Barra dos Coqueiros,Segurança,Em Andamento,3348508.13,0.0,0,22.3
CT-2022-0287,Aracaju,Educação,Concluída,5506380.46,638114.0,0,100.0
CT-2022-0288,Estância,Infraestrutura,Em Andamento,3292784.1,0.0,0,8.3
CT-2022-0289,Itabaiana,Segurança,Concluída,4979706.44,0.0,0,100.0
CT-2022-0290,Lagarto,Saúde,Em Andamento,1939341.72,0.0,0,21.3
CT-2022-0291,Nossa Senhora do Socorro,Saúde,Paralisada,7894520.09,10599686.93,1504,56.5
CT-2022-0292,Estância,Educação,Concluída,3006636.33,111761.4,0,100.0
CT-2022-0293,Nossa Senhora do Socorro,Infraestrutura,Concluída,3877055.71,144193.92,0,100.0
CT-2022-0294,Nossa Senhora do Socorro,Segurança,Concluída,502119.4,0.0,0,100.0
CT-2022-0295,Nossa Senhora do Socorro,Segurança,Paralisada,3125839.46,1619731.04,339,28.8
CT-2022-0296,Tobias Barreto,Educação,Concluída,238018.46,0.0,0,100.0
CT-2022-0297,Aracaju,Infraestrutura,Paralisada,686449.24,327968.28,423,14.7
CT-2022-0298,Nossa Senhora do Socorro,Cultura e Esporte,Em Andamento,3748704.93,0.0,0,47.9
CT-2022-0299,Itabaiana,Segurança,Paralisada,3530037.46,851561.44,274,22.0
CT-2022-0300,Aracaju,Cultura e Esporte,Concluída,2207134.33,271449.36,0,100.0
CT-2022-0301,Aracaju,Segurança,Concluída,3366748.95,495492.65,0,100.0
CT-2022-0302,Estância,Educação,Paralisada,5287433.73,1245851.81,548,11.1
CT-2022-0303,Lagarto,Infraestrutura,Concluída,5538481.65,0.0,0,100.0
CT-2022-0304,São Cristóvão,Saúde,Concluída,6758014.13,0.0,0,100.0
CT-2022-0305,Lagarto,Educação,Atrasada,6775199.43,2606606.08,358,94.8
CT-2022-0306,Aracaju,Saúde,Paralisada,2648434.04,6773357.8,1445,48.8
CT-2022-0307,Barra dos Coqueiros,Cultura e Esporte,Concluída,1455989.5,0.0,0,100.0
